repeat,fold,split_seed,n_train,n_heldout,events_train,events_heldout,cindex_tabular,cindex_text,cindex_vision_mean,cindex_vision_moments,cindex_fusion_mean,cindex_fusion_moments,cindex_fusion_bimodal_moments,delta_vision_moments_minus_mean,delta_fusion_moments_minus_mean,delta_fusion_moments_minus_tabular,delta_bimodal_minus_trimodal_moments,delta_bimodal_minus_tabular,mean_weight_tabular,mean_weight_text,mean_weight_vision,moments_weight_tabular,moments_weight_text,moments_weight_vision,bimodal_weight_tabular,bimodal_weight_vision,mean_fusion_inner_cindex,moments_fusion_inner_cindex,bimodal_fusion_inner_cindex,tabular_pca_dim,tabular_penalizer,tabular_inner_cindex,text_pca_dim,text_penalizer,text_inner_cindex,vision_mean_pca_dim,vision_mean_penalizer,vision_mean_inner_cindex,vision_moments_pca_dim,vision_moments_penalizer,vision_moments_inner_cindex
2,0,20261027,57,15,16,4,0.875,0.125,0.6666666666666666,0.8125,0.875,0.875,0.9166666666666666,0.14583333333333337,0.0,0.0,0.04166666666666663,0.04166666666666663,1.0,0.0,0.0,0.3,0.2,0.5,0.6,0.4,0.7554824561403509,0.7730263157894737,0.7719298245614035,,100.0,0.8179438293307214,8,100.0,0.565703474372205,8,1.0,0.6016657629450829,8,10.0,0.7139560849614898
2,1,20261028,57,15,16,4,0.7941176470588235,0.4117647058823529,0.5588235294117647,0.8382352941176471,0.7352941176470589,0.7352941176470589,0.7941176470588235,0.27941176470588236,0.0,-0.05882352941176461,0.05882352941176461,0.0,0.9,0.1,0.0,0.9,0.1,0.0,1.0,0.0,0.818407960199005,0.818407960199005,0.8109452736318408,,100.0,0.8443019943019943,4,0.1,0.5473850223850224,8,10.0,0.7095238095238096,8,100.0,0.6264143264143264
2,2,20261029,58,14,16,4,0.7916666666666666,0.2708333333333333,0.5208333333333334,0.6458333333333334,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.125,0.04166666666666674,-0.08333333333333326,0.0,-0.08333333333333326,0.7,0.0,0.3,0.3,0.1,0.6,0.4,0.6,0.7982456140350878,0.8541666666666666,0.8432017543859649,,10.0,0.7363641365570005,4,100.0,0.5077956452112672,8,0.1,0.6865221055192126,8,1.0,0.8324776077910118
2,3,20261030,58,14,16,4,0.7962962962962963,0.2962962962962963,0.5740740740740741,0.7592592592592593,0.7777777777777778,0.7777777777777778,0.7407407407407407,0.18518518518518523,0.0,-0.01851851851851849,-0.03703703703703709,-0.05555555555555558,0.8,0.0,0.2,0.4,0.1,0.5,0.5,0.5,0.7693181818181818,0.7909090909090909,0.7886363636363637,,100.0,0.7391603105888821,8,100.0,0.5670308527451384,8,0.1,0.6775578918436062,8,100.0,0.7207105064247922
2,4,20261031,58,14,16,4,0.76,0.2,0.68,0.64,0.72,0.68,0.68,-0.040000000000000036,-0.039999999999999925,-0.07999999999999996,0.0,-0.07999999999999996,0.6,0.1,0.3,0.5,0.0,0.5,0.5,0.5,0.8366445916114791,0.847682119205298,0.847682119205298,,10.0,0.8650210798313612,8,10.0,0.5310077519379844,8,100.0,0.6787705698354413,8,100.0,0.8057935536515708
3,0,20261127,57,15,16,4,0.8653846153846154,0.34615384615384615,0.46153846153846156,0.8461538461538461,0.6538461538461539,0.8846153846153846,0.8846153846153846,0.3846153846153846,0.23076923076923073,0.019230769230769162,0.0,0.019230769230769162,0.6,0.0,0.4,0.6,0.0,0.4,0.6,0.4,0.7861990950226244,0.7782805429864253,0.7794117647058824,,100.0,0.8082139711676631,4,100.0,0.3852454456960088,8,10.0,0.6853381541741993,8,100.0,0.7358457330922913
3,1,20261128,57,15,16,4,0.9393939393939394,0.30303030303030304,0.8181818181818182,0.8636363636363636,0.9242424242424242,0.9393939393939394,0.9393939393939394,0.045454545454545414,0.015151515151515249,0.0,0.0,0.0,0.5,0.0,0.5,0.3,0.0,0.7,0.3,0.7,0.6939759036144578,0.7903614457831325,0.7903614457831325,,100.0,0.6795113347958877,4,100.0,0.5814191078418721,8,1.0,0.6544607906396523,8,1.0,0.7880285628253109
3,2,20261129,58,14,16,4,0.7428571428571429,0.11428571428571428,0.32857142857142857,0.8,0.7428571428571429,0.8285714285714286,0.8285714285714286,0.4714285714285715,0.08571428571428574,0.08571428571428574,0.0,0.08571428571428574,0.9,0.0,0.1,0.7,0.0,0.3,0.7,0.3,0.7216867469879518,0.7481927710843373,0.7469879518072289,,0.1,0.7772086275921012,8,0.1,0.2947404525212541,8,0.1,0.5456550912389606,8,1.0,0.7473891562832682
3,3,20261130,58,14,16,4,0.4722222222222222,0.8055555555555556,0.4444444444444444,0.6944444444444444,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8631578947368421,0.8631578947368421,0.8631578947368421,,10.0,0.8371353284396763,4,100.0,0.5084901813162682,8,100.0,0.6681394692264258,8,100.0,0.7764586862412949
3,4,20261131,58,14,16,4,0.725,0.075,0.65,0.55,0.75,0.65,0.65,-0.09999999999999998,-0.09999999999999998,-0.07499999999999996,0.0,-0.07499999999999996,0.9,0.0,0.1,0.7,0.0,0.3,0.7,0.3,0.8406113537117904,0.8537117903930131,0.8537117903930131,,100.0,0.8270258128748695,4,1.0,0.4967551783589519,8,10.0,0.5121233092931207,8,100.0,0.7380208712755882
4,0,20261227,57,15,16,4,0.5882352941176471,0.47058823529411764,0.4264705882352941,0.6323529411764706,0.5588235294117647,0.5882352941176471,0.5882352941176471,0.20588235294117646,0.02941176470588236,0.0,0.0,0.0,0.6,0.3,0.1,0.6,0.2,0.2,0.8,0.2,0.8270142180094787,0.8317535545023697,0.830568720379147,,100.0,0.7949159758370284,4,100.0,0.46661927254032526,8,1.0,0.6873835229098387,8,100.0,0.8091301972880921
4,1,20261228,57,15,16,4,0.8333333333333334,0.20833333333333334,0.7916666666666666,0.8125,0.7916666666666666,0.8333333333333334,0.8333333333333334,0.02083333333333337,0.04166666666666674,0.0,0.0,0.0,0.6,0.0,0.4,0.5,0.0,0.5,0.5,0.5,0.7410313901345291,0.757847533632287,0.757847533632287,,1.0,0.768719806763285,4,0.1,0.3611111111111111,8,0.1,0.6482487922705314,8,100.0,0.768719806763285
4,2,20261229,58,14,16,4,0.7272727272727273,0.045454545454545456,0.5454545454545454,0.6590909090909091,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.11363636363636365,0.0,0.0,0.0,0.0,0.8,0.1,0.1,0.8,0.0,0.2,0.8,0.2,0.7922222222222223,0.8088888888888889,0.8088888888888889,,1.0,0.7902692115859519,8,10.0,0.4305256499154532,8,0.1,0.617179421675608,8,100.0,0.7450549250027372
4,3,20261230,58,14,16,4,0.8958333333333334,0.4583333333333333,0.875,0.7916666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,-0.08333333333333337,0.0,0.02083333333333326,0.0,0.02083333333333326,0.9,0.0,0.1,0.3,0.0,0.7,0.3,0.7,0.6068181818181818,0.6431818181818182,0.6431818181818182,,10.0,0.6229191557148547,4,0.1,0.3891079251294305,8,0.1,0.6379994690030532,8,0.1,0.6195805124120536
4,4,20261231,58,14,16,4,0.92,0.28,0.46,0.62,0.88,0.64,0.64,0.15999999999999998,-0.24,-0.28,0.0,-0.28,0.6,0.0,0.4,0.3,0.0,0.7,0.3,0.7,0.6768018018018018,0.7759009009009009,0.7759009009009009,,100.0,0.6716116271069832,8,100.0,0.4673546611627107,8,0.1,0.6987874097007225,8,1.0,0.775094599243206
