repeat,fold,split_seed,configuration,architecture,token_count,use_position,n_train,n_heldout,events_heldout,selected_epochs,inner_epochs,inner_cindex_mean,parameters,n_all,events_all,cindex_all,n_ct,events_ct,cindex_ct,n_mr,events_mr,cindex_mr
1,4,4153,attention_t64_poson,attention,64,True,172,42,12,10,"[2, 16, 10]",0.6615329482106201,84033,42,12,0.8348623853211009,39,9,0.8333333333333334,3,3,0.6666666666666666
1,4,4153,mamba_t32_posoff,mamba,32,False,172,42,12,9,"[1, 26, 9]",0.7081504121515237,319041,42,12,0.8409785932721713,39,9,0.8333333333333334,3,3,0.6666666666666666
1,4,4153,mamba_t32_poson,mamba,32,True,172,42,12,9,"[1, 17, 9]",0.6914576852320997,319041,42,12,0.8226299694189603,39,9,0.8108108108108109,3,3,0.6666666666666666
1,4,4153,mamba_t64_posoff,mamba,64,False,172,42,12,8,"[1, 19, 8]",0.7026315104474071,319041,42,12,0.8165137614678899,39,9,0.8288288288288288,3,3,0.6666666666666666
1,4,4153,mamba_t64_poson,mamba,64,True,172,42,12,10,"[1, 13, 10]",0.6803133404885525,319041,42,12,0.8134556574923547,39,9,0.7927927927927928,3,3,0.6666666666666666
2,0,4249,attention_t32_posoff,attention,32,False,171,43,13,19,"[45, 19, 7]",0.7128670833201146,84033,43,13,0.7161290322580646,39,12,0.7330677290836654,4,1,1.0
2,0,4249,attention_t32_poson,attention,32,True,171,43,13,20,"[42, 20, 8]",0.7010040925097555,84033,43,13,0.7193548387096774,39,12,0.7370517928286853,4,1,1.0
2,0,4249,attention_t64_posoff,attention,64,False,171,43,13,34,"[34, 76, 8]",0.6960391485041718,84033,43,13,0.667741935483871,39,12,0.6772908366533864,4,1,1.0
2,0,4249,attention_t64_poson,attention,64,True,171,43,13,27,"[62, 27, 7]",0.6930971944629506,84033,43,13,0.6903225806451613,39,12,0.7171314741035857,4,1,1.0
2,0,4249,mamba_t32_posoff,mamba,32,False,171,43,13,21,"[23, 21, 5]",0.7193114643147954,319041,43,13,0.7161290322580646,39,12,0.7211155378486056,4,1,1.0
2,0,4249,mamba_t32_poson,mamba,32,True,171,43,13,21,"[39, 21, 6]",0.7300640842612861,319041,43,13,0.7064516129032258,39,12,0.701195219123506,4,1,1.0
2,0,4249,mamba_t64_posoff,mamba,64,False,171,43,13,16,"[16, 27, 6]",0.7233696054482198,319041,43,13,0.6870967741935484,39,12,0.6892430278884463,4,1,1.0
2,0,4249,mamba_t64_poson,mamba,64,True,171,43,13,24,"[24, 33, 6]",0.7224263189619619,319041,43,13,0.7,39,12,0.7131474103585658,4,1,1.0
2,1,4250,attention_t32_posoff,attention,32,False,171,43,13,14,"[18, 1, 14]",0.7126949961748855,84033,43,13,0.7233333333333334,41,11,0.6958333333333333,2,2,0.0
